idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"50002077";;"886087";"2061085";"27572";"73151";"LES MARCHES";;"MONTAGNE DU GRANIER";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"5.9970831658224002";"45.4902363153475022";
"50001986";;"936197.021484375";"2029516.96777343703";"27572";"73119";"FRENEY";"1952-01-01";"LA PRA";"2";"Chute de blocs / Eboulement";"2";"Moyen";"4";"Année";"5";"Commune";"6.61510979880964012";"45.1838593351245024";
"50002001";;"904200.01220703125";"2072199.951171875";"27572";"73129";"GRESY-SUR-ISERE";"1985-03-05";"CAPTAGE DES FONTANIERES";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.23552222802130984";"45.5822835498606977";
"50001813";;"874113";"2077785";"27572";"73051";"LE BOURGET-DU-LAC";;"RN 6 PK 141,000 à 186,870";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"5.8536354070090999";"45.6452359377129966";
"50001891";;"902964";"2064091";"27572";"73072";"CHAMP-LAURENT";"1960-11-01";"LA MASURE ET BOIS-LEVAZ";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.21458296763201012";"45.5099709689939971";
"50002000";;"905000";"2075100.09765625";"27572";"73129";"GRESY-SUR-ISERE";"1985-02-02";"LE MURGERAY";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.24760678321248974";"45.6079837346497996";
"50003001";;"943041.015625";"2032413.94042968703";"27572";"73322";"VILLARODIN-BOURGET";"1984-05-01";"CHATALAMIA- ROC DU BOURGET";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.70407786645870019";"45.2064961431184003";
"50002726";;"927157";"2035583";"27572";"73261";"SAINT-MICHEL-DE-MAURIENNE";"1955-03-01";"ROC DE STE-ANNE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.50437098760311994";"45.2427147602253967";
"50002569";;"908631";"2027531";"27572";"73242";"SAINT-JEAN-D'ARVES";;"RAVIN DE L'EGLISE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.26364350017459959";"45.1789545884951025";
"50002338";;"931176";"2031147";"27572";"73194";"ORELLE";"1960-11-09";"FORET COMMUN.,1è SERIE,PARC.A";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.55244562199372016";"45.2009398313023993";
"50002289";;"928136";"2073350";"27572";"73187";"LA LECHERE";"1931-03-12";;"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.54253743495104967";"45.5815197397019034";
"50002711";;"927156.982421875";"2035583.0078125";"27572";"73261";"SAINT-MICHEL-DE-MAURIENNE";;"ROCHERS DES GUIERES";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.50437098760311994";"45.2427147602253967";
"50002221";;"953559";"2081048";"27572";"73176";"MONTVALEZAN";"1987-11-01";"ROUTE DU COL DU PT ST-BERNARD";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.87339701556937044";"45.6379556410962977";
"22300576";"C";"931176.025390625";"2031146.97265625";"27562";"73194";"ORELLE";"1992-07-01";"ORELLE";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"5";"Commune";"6.55244562199372016";"45.2009398313023993";
"50001999";;"880074";"2087332";"27572";"73128";"GRESY-SUR-AIX";"1983-05-01";"""ANTOGER"" ET ""LA RIBLETTE""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"5.93561844849913012";"45.7286121144939983";
"50002393";;"944000";"2052500";"27572";"73206";"PRALOGNAN-LA-VANOISE";"1984-05-26";"MONT BOCHOR";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.73054180811556968";"45.386425554361999";
"50002009";;"915599.9755859375";"2081100.09765625";"27572";"73130";"GRIGNON";;"CD94 PK500";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.38725692538394973";"45.6570665740961985";
"10000340";;"923408";"2067463";"27572";"73187";"LA LECHERE";"1903-11-04";"Notre-Dame-deBriançon.";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"6.47808000000000028";"45.5308899999999994";
"10000338";;"923408";"2067463";"27572";"73187";"LA LECHERE";"1903-12-10";"Notre-Dame-deBriançon.";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"6.47808000000000028";"45.5308899999999994";
"50002380";;"915269";"2045987";"27572";"73203";"PONTAMAFREY-MONTPASCAL";;"FORET COMMUNAL.,COTE 1250/1300";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.35997030331575974";"45.3417495806637021";
"50002381";;"915269";"2045987";"27572";"73203";"PONTAMAFREY-MONTPASCAL";"1988-03-24";"FALAISE DU ""GRAND-COIN""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.35997030331575974";"45.3417495806637021";
"50002002";;"905000";"2075100.09765625";"27572";"73129";"GRESY-SUR-ISERE";"1984-09-01";"LE MURGERAY";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.24760678321248974";"45.6079837346497996";
"50002779";;"873799.98779296875";"2052500";"27572";"73274";"SAINT-PIERRE-D'ENTREMONT";;"CHANT DES DAMES";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"5.83519583589654012";"45.4181154220866006";
"10000352";;"934827";"2031105";"27572";"73119";"FRENEY";"1884-11-29";"La Praz.";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"6.59879999999999978";"45.1987900000000025";
"50002385";;"915269";"2045987";"27572";"73203";"PONTAMAFREY-MONTPASCAL";"1951-05-29";"FALAISE DU ROCHERAY ,COTE 1300";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.35997030331575974";"45.3417495806637021";
"10000349";;"890285";"2064048";"27572";"73171";"MONTMELIAN";"1891-11-24";"La Roche du Guet.";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"3";"Hectomètre";"6.05250999999999983";"45.5150900000000007";
"50002027";;"916299.98779296875";"2039300.048828125";"27572";"73135";"HERMILLON";"1989-10-08";"L'ECHAILLON";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.3687313369036298";"45.2811980821280997";
"50002371";;"942588";"2056955";"27572";"73201";"PLANAY";"1914-04-16";"FORET COMMUNAL.,3èSERIE,PAR.14";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.71571006972814022";"45.4271492432106996";
"50001998";;"880074";"2087332";"27572";"73128";"GRESY-SUR-AIX";"1984-02-01";"CD 911 ""BOIS DE LA TOUR""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"5.93561844849913012";"45.7286121144939983";
"50002493";;"902172";"2036390";"27572";"73230";"SAINT-COLOMBAN-DES-VILLARDS";"1965-01-01";"ROCHER SURPLOMBANT LES""ROCHES""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"4";"Année";"5";"Commune";"6.18710733528695034";"45.2614226311186982";
"50002504";;"953700.01220703125";"2077500";"27572";"73232";"SAINTE-FOY-TARENTAISE";"1982-01-01";"VICAIRE RN 202";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.87257813678285956";"45.6060160127185981";
"50002376";;"912325.01220703125";"2041900.02441406203";"27572";"73203";"PONTAMAFREY-MONTPASCAL";"1951-05-29";"PROJET CARRIERE DU FAY";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.31982341436054984";"45.306379094876398";
"50002503";;"954799.98779296875";"2074600.09765625";"27572";"73232";"SAINTE-FOY-TARENTAISE";"1985-02-09";"CD 902 LE JORAT";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.88450440127212993";"45.5793983562941989";
"50002512";;"954299.98779296875";"2077300.048828125";"27572";"73232";"SAINTE-FOY-TARENTAISE";"1987-09-23";"LES LECHERES";"2";"Chute de blocs / Eboulement";"2";"Moyen";"3";"Saison";"5";"Commune";"6.88010765071040975";"45.6039081576114995";
"12200022";;"944597.400000000023";"2080170.41015625";"27572";"73054";"BOURG-SAINT-MAURICE";"1992-07-26";"Les Lanches";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"6.7580096570212902";"45.6346610868913984";
"12200001";;"942190";"55280";"27562";"73201";"PLANAY";"1998-01-07";"LA NOVAZ";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"6.70944329748466028";"45.4123032838611991";
"12200169";;"943327";"2052409.66796875";"27572";"73206";"PRALOGNAN-LA-VANOISE";"2000-10-06";"au hameau des Darbelays";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"6.72189920014062015";"45.3859550756568026";
"50002510";;"956799.98779296875";"2071399.90234375";"27572";"73232";"SAINTE-FOY-TARENTAISE";"1977-01-01";"CD 902 LA GRANDE ROUVINE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"4";"Année";"5";"Commune";"6.90770096972175018";"45.549615221466297";
"50002509";;"956799.98779296875";"2071399.90234375";"27572";"73232";"SAINTE-FOY-TARENTAISE";"1970-01-01";"CD 902 LA GRANDE ROUVINE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"4";"Année";"5";"Commune";"6.90770096972175018";"45.549615221466297";
"50001947";;"925900.0244140625";"2101800.048828125";"27572";"73114";"FLUMET";"1982-07-01";"AU DESSUS DE SCIOZIER";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.53338134950794025";"45.8381829684270983";
"50002827";;"900235";"2060145";"27572";"73289";"LA TABLE";"1960-10-24";;"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.17724099346432975";"45.4757192453071966";
"50001945";;"923438";"2072947";"27572";"73112";"FEISSONS-SUR-ISERE";"1954-02-17";"LES PERRIERES";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.48215953707309023";"45.5801433547067987";
"50001956";;"911690.00244140625";"2031550.048828125";"27572";"73116";"FONTCOUVERTE-LA-TOUSSUIRE";"1979-01-01";"CD 926 PK 22,0";"2";"Chute de blocs / Eboulement";"2";"Moyen";"4";"Année";"5";"Commune";"6.30508060890736033";"45.2136809283120016";
"50002203";;"919916";"2032543";"27572";"73173";"MONTRICHER-ALBANNE";;"RG DE L'ARC";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.41028607405553963";"45.2188184099476018";
"50002357";;"941799.98779296875";"2056699.951171875";"27572";"73201";"PLANAY";"1982-03-20";"CHAMBERANGER";"2";"Chute de blocs / Eboulement";"2";"Moyen";"3";"Saison";"5";"Commune";"6.70547717564344037";"45.4252530182462024";
"50001953";;"926750";"2059625";"27572";"73115";"FONTAINE-LE-PUITS";"1975-11-19";"RN 515A PK 4,500 à 5,000";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.51546230448874031";"45.4588853821950991";
"50001952";;"926400.0244140625";"2059500";"27572";"73115";"FONTAINE-LE-PUITS";"1986-01-04";"CD 215A";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.51090964238141989";"45.4579296547362972";
"50001965";;"911712";"2035205";"27572";"73116";"FONTCOUVERTE-LA-TOUSSUIRE";"1955-02-09";"LA CULA";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.30770909437058958";"45.2465082057318";
"50001964";;"911712";"2035205";"27572";"73116";"FONTCOUVERTE-LA-TOUSSUIRE";"1970-04-20";"FORET COMMUNALE MONT CHARVIN";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.30770909437058958";"45.2465082057318";
"50001809";;"973133";"2052813";"27572";"73047";"BONNEVAL-SUR-ARC";;"L'ARC";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"7.10203089424657019";"45.3739765116461982";
"50002432";;"911596";"2068411";"27572";"73212";"RANDENS";;"SECTEUR DE LA ""BLANCHERIE""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.32769331427146042";"45.5449013544436028";
"50000458";;"880595";"2057978";"27572";"73107";"ENTREMONT-LE-VIEUX";"1248-11-24";"MONT GRANIER";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"5.92509716189910041";"45.4645918612377002";
"22300401";"C";"933520.01953125";"2094680.90820312989";"27562";"73132";"HAUTELUCE";"1983-01-01";"HAUTELUCE";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"5";"Commune";"6.62631881069613993";"45.7705296444313987";
"50002022";;"915900.0244140625";"2039099.97558593703";"27572";"73135";"HERMILLON";"1974-10-01";"BAINS-DE-L'ECHAILLON";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.36351058293135985";"45.2795856517114998";
"50002870";;"960299.98779296875";"2063899.90234375";"27572";"73296";"TIGNES";"1979-04-05";"RN 202 PK 23,75";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.94681018607303002";"45.4804200948791006";
"50002025";;"915799.98779296875";"2040300.048828125";"27572";"73135";"HERMILLON";"1989-03-16";"FALAISE DES COTES-USINE SPPS";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.36302088467250027";"45.2904125285757999";
"50002010";;"915599.9755859375";"2081100.09765625";"27572";"73130";"GRIGNON";"1955-01-01";"CARRIERE DU PONT D'ALBERTIN";"2";"Chute de blocs / Eboulement";"2";"Moyen";"4";"Année";"5";"Commune";"6.38725692538394973";"45.6570665740961985";
"50002873";;"961799.98779296875";"2062300.048828125";"27572";"73296";"TIGNES";"1987-12-26";"LA DAILLE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.96475540153960981";"45.4652584663380992";
"50002445";;"919188";"2071902";"27572";"73216";"ROGNAIX";;"LE NANT CLEMENT";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.42708849496520962";"45.572757010837698";
"50002443";;"921099.9755859375";"2072850.09765625";"27572";"73216";"ROGNAIX";"1990-07-06";"VARAMBON";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.4521825153029404";"45.5803766100111005";
"50002442";;"921200.01220703125";"2072500";"27572";"73216";"ROGNAIX";"1988-02-22";"LES ILES";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.45322719427501035";"45.5771850890938026";
"50002441";;"922200.01220703125";"2070600.09765625";"27572";"73216";"ROGNAIX";"1987-12-19";"CD 66 LA ROCHETTE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.46474261468850031";"45.5596438344459997";
"50002011";;"915599.9755859375";"2081100.09765625";"27572";"73130";"GRIGNON";"1977-11-06";"CARRIERE DU PONT D'ALBERTIN";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.38725692538394973";"45.6570665740961985";
"50002440";;"922200.01220703125";"2070600.09765625";"27572";"73216";"ROGNAIX";"1987-03-01";"CD 66 PR 10.317 - 10.560";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.46474261468850031";"45.5596438344459997";
"12200002";;"876000";"89350";"27562";"73059";"BRISON-SAINT-INNOCENT";"1998-01-25";;"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"5.88450691686978988";"45.7484141820484993";
"50002013";;"915363";"2079765";"27572";"73130";"GRIGNON";;"""GRANGE-NEUVE""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.3833391312361103";"45.6451818707487007";
"50002014";;"915363";"2079765";"27572";"73130";"GRIGNON";"1938-01-12";"""PONT-ALBERTIN""";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.3833391312361103";"45.6451818707487007";
"12200003";;"926850";"63000";"27562";"73003";"AIGUEBLANCHE";"1998-01-06";"LE SIBOULET";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"6.5190331943016897";"45.4891569396178994";
"50002003";;"878599.9755859375";"2086100.09765625";"27572";"73129";"GRESY-SUR-ISERE";"1988-05-01";"CARRIERE GIANRE ET GAILLARD";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"5.91598279667616023";"45.7181450404290999";
"50002439";;"922200.01220703125";"2070600.09765625";"27572";"73216";"ROGNAIX";"1983-01-01";"CD66 LA ROCHETTE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"2";"Mois";"5";"Commune";"6.46474261468850031";"45.5596438344459997";
"50002438";;"922000";"2071000";"27572";"73216";"ROGNAIX";"1985-06-16";"CD 66  LA ROCHETTE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.46245355379206021";"45.5633318557449982";
"50002455";;"905702";"2059363";"27572";"73220";"SAINT-ALBAN-DES-HURTIERES";"1955-02-09";"TORRENT DE LA CORBIERE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"1";"Jour";"5";"Commune";"6.24656499714767044";"45.4662691618734982";
"12200164";;"915632.800000000047";"2039162.96386719006";"27572";"73135";"HERMILLON";"2000-08-04";;"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"6.3601539933709299";"45.2802745783685978";
"50002055";;"960681";"2042787";"27572";"73144";"LANSLEVILLARD";;"COL DE LA MADELEINE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.93588598032475012";"45.2906116442485001";
"50002776";;"906422";"2058012";"27572";"73272";"SAINT-PIERRE-DE-BELLEVILLE";;"CRETE RELIANT POINTE/ROGNIER";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.25489819198720998";"45.4538079657778979";
"50002777";;"906422";"2058012";"27572";"73272";"SAINT-PIERRE-DE-BELLEVILLE";;"COULOIR AU DR. CHAPELLE/RUINEE";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"6.25489819198720998";"45.4538079657778979";
"50002778";;"874400.0244140625";"2052300.048828125";"27572";"73274";"SAINT-PIERRE-D'ENTREMONT";;"PETIT FROU";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"5";"Commune";"5.84273864165673995";"45.4160775834723012";
"22300877";"C";"917870.971679687966";"2092737.06054687011";"27562";"73303";"UGINE";"1981-11-01";"GORGES DE L'ARLY";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"5";"Commune";"6.42411219610804984";"45.7605630590839993";
